Datum,Klaerwerk,Durchfluss,Temperatur,pH,Monat,Kalenderwoche,Viruslast_Influenza_A,Viruslast_Influenza_B,Viruslast_RSV
2024-07-21,Ruhleben,217860.0000,24.99,7.359,7,29,0.00000000000,0.00000000000,
2024-07-28,Ruhleben,488100.0000,22.97,6.984,7,30,0.00000000000,0.00000000000,
2024-08-04,Ruhleben,403750.0000,23.51,7.242,8,31,0.00000000000,0.00000000000,
2024-08-11,Ruhleben,209510.0000,24.87,7.458,8,32,0.00000000000,0.00000000000,
2024-08-18,Ruhleben,242080.0000,25.31,7.514,8,33,0.00000000000,0.00000000000,
2024-08-25,Ruhleben,214460.0000,25.21,7.549,8,34,0.00000000000,0.00000000000,
2024-09-01,Ruhleben,224390.0000,25.19,7.530,9,35,0.00000000000,0.00000000000,
2024-09-11,Ruhleben,219310.0000,22.94,7.453,9,37,0.00000000000,0.00000000000,
2024-09-15,Ruhleben,234500.0000,23.46,7.495,9,37,0.00000000000,0.00000000000,
2024-09-22,Ruhleben,222110.0000,23.90,7.585,9,38,0.00000000000,5166.66666666667,
2024-09-29,Ruhleben,235900.0000,22.61,7.508,9,39,0.00000000000,0.00000000000,
2024-10-06,Ruhleben,229660.0000,21.11,7.879,10,40,0.00000000000,0.00000000000,
2024-10-13,Ruhleben,281700.0000,20.39,7.933,10,41,0.00000000000,0.00000000000,
2024-10-20,Ruhleben,223450.0000,20.82,7.047,10,42,3500.00000000000,0.00000000000,
2024-10-27,Ruhleben,234570.0000,20.79,7.103,10,43,0.00000000000,0.00000000000,
2024-11-03,Ruhleben,244910.0000,20.21,7.079,11,44,3433.33333333333,0.00000000000,
2024-11-06,Ruhleben,232140.0000,19.93,7.059,11,45,,,5233.33333333333
2024-11-10,Ruhleben,232690.0000,19.20,7.057,11,45,3533.33333333333,0.00000000000,
2024-11-13,Ruhleben,235330.0000,18.88,7.055,11,46,,,0.00000000000
2024-11-17,Ruhleben,275230.0000,18.26,7.056,11,46,3500.00000000000,0.00000000000,
2024-11-19,Ruhleben,370790.0000,17.49,7.027,11,47,,,5266.66666666667
2024-11-24,Ruhleben,429350.0000,15.42,6.964,11,47,8800.00000000000,0.00000000000,
2024-11-27,Ruhleben,277670.0000,17.34,7.020,11,48,,,0.00000000000
2024-12-01,Ruhleben,240920.0000,16.84,7.042,12,48,19266.66666666667,0.00000000000,
2024-12-01,Schönerlinde,99390.1000,14.80,7.230,12,48,28900.00000000000,0.00000000000,
2024-12-04,Ruhleben,253990.0000,16.83,7.070,12,49,,,7000.00000000000
2024-12-08,Ruhleben,287890.0000,15.29,6.982,12,49,14100.00000000000,7033.33333333333,
2024-12-08,Schönerlinde,111912.5000,14.80,7.290,12,49,40666.66666666666,0.00000000000,
2024-12-08,Waßmannsdorf,246389.7375,15.87,6.874,12,49,3633.33333333333,0.00000000000,
2024-12-11,Ruhleben,247120.0000,15.22,7.064,12,50,,,11233.33333333333
2024-12-15,Ruhleben,271450.0000,16.73,7.113,12,50,54500.00000000000,65033.33333333334,
2024-12-15,Schönerlinde,120368.2000,15.20,7.420,12,50,39866.66666666666,0.00000000000,
2024-12-15,Waßmannsdorf,246605.2375,16.05,7.074,12,50,11033.33333333333,0.00000000000,
2024-12-18,Ruhleben,235000.0000,17.07,7.053,12,51,,,8800.00000000000
2024-12-22,Ruhleben,281480.0000,16.91,7.133,12,51,22900.00000000000,3533.33333333333,
2024-12-22,Schönerlinde,130601.2000,15.70,7.500,12,51,41700.00000000000,10933.33333333333,
2024-12-22,Waßmannsdorf,242420.6750,16.20,7.371,12,51,13000.00000000000,7400.00000000000,
2024-12-26,Ruhleben,191530.0000,16.88,7.072,12,52,,,0.00000000000
2024-12-29,Ruhleben,215360.0000,16.72,7.145,12,52,87833.33333333333,12300.00000000000,
2024-12-29,Schönerlinde,92536.6000,15.10,7.470,12,52,90333.33333333333,12600.00000000000,
2024-12-29,Waßmannsdorf,193173.7125,15.93,7.164,12,52,22166.66666666667,5600.00000000000,
2025-01-01,Ruhleben,218770.0000,16.52,7.181,1,1,,,19300.00000000000
2025-01-05,Ruhleben,254910.0000,16.04,7.172,1,1,105400.00000000000,40366.66666666666,
2025-01-05,Schönerlinde,110112.4000,14.40,7.510,1,1,167500.00000000000,27266.66666666667,
2025-01-05,Waßmannsdorf,235160.7750,15.38,7.257,1,1,30700.00000000000,12733.33333333333,
2025-01-08,Ruhleben,272930.0000,14.28,7.108,1,2,,,17500.00000000000
2025-01-12,Ruhleben,258120.0000,13.41,7.064,1,2,179170.00000000000,33205.33333333334,
2025-01-12,Schönerlinde,119496.0000,12.50,7.310,1,2,217827.00000000000,50206.66666666666,
2025-01-12,Waßmannsdorf,253748.3125,13.47,6.824,1,2,41521.00000000000,10959.33333333333,
2025-01-15,Ruhleben,288490.0000,15.12,7.139,1,3,,,19270.33333333333
2025-01-15,Schönerlinde,114463.6000,14.00,7.450,1,3,,,41681.00000000000
2025-01-15,Waßmannsdorf,241834.0250,15.06,6.881,1,3,,,26014.00000000000
2025-01-19,Ruhleben,243740.0000,15.68,7.236,1,3,179379.33333333334,66820.00000000000,
2025-01-19,Schönerlinde,108898.6000,14.10,7.510,1,3,146767.33333333334,66214.66666666667,
2025-01-19,Waßmannsdorf,236672.4000,15.45,6.939,1,3,58198.00000000000,19907.33333333333,
2025-01-22,Ruhleben,246230.0000,15.55,7.243,1,4,197972.00000000000,75911.33333333333,34949.00000000000
2025-01-22,Schönerlinde,105755.7000,14.10,7.510,1,4,163838.33333333334,119509.33333333333,47604.66666666666
2025-01-22,Waßmannsdorf,222457.3750,15.50,6.970,1,4,70661.33333333333,45306.33333333334,28638.66666666667
2025-01-26,Ruhleben,296990.0000,15.58,7.133,1,4,190902.00000000000,99063.00000000000,
2025-01-26,Schönerlinde,136165.2000,14.70,7.550,1,4,190251.33333333334,122229.33333333333,
2025-01-26,Waßmannsdorf,253585.0625,15.65,7.028,1,4,80123.66666666667,36226.33333333334,
2025-01-29,Ruhleben,265490.0000,15.27,7.133,1,5,152971.66666666666,154423.66666666666,33815.33333333334
2025-01-29,Schönerlinde,119200.0000,15.00,7.570,1,5,137030.00000000000,151957.00000000000,41831.66666666666
2025-01-29,Waßmannsdorf,240336.2750,15.66,7.000,1,5,52578.66666666666,46751.00000000000,15024.33333333333
2025-02-02,Ruhleben,239090.0000,15.99,7.213,2,5,118052.33333333333,110696.66666666667,
2025-02-02,Schönerlinde,103863.5000,14.90,6.870,2,5,116082.66666666667,104545.66666666667,
2025-02-02,Waßmannsdorf,222154.0750,15.70,6.986,2,5,79943.00000000000,63311.00000000000,
2025-02-05,Ruhleben,232620.0000,15.72,7.189,2,6,137079.00000000000,141500.66666666666,45094.00000000000
2025-02-05,Schönerlinde,98783.7000,14.30,7.120,2,6,90618.33333333333,105405.66666666667,59261.66666666666
2025-02-05,Waßmannsdorf,213893.7625,15.56,7.007,2,6,43763.33333333334,65251.33333333334,24415.00000000000
2025-02-09,Ruhleben,237980.0000,15.88,7.276,2,6,96551.66666666667,143489.33333333334,
2025-02-09,Schönerlinde,110776.5000,13.10,6.840,2,6,109037.66666666667,137644.66666666666,
2025-02-09,Waßmannsdorf,234663.3125,15.39,7.004,2,6,36396.00000000000,72577.00000000000,
2025-02-12,Ruhleben,234860.0000,15.20,7.218,2,7,58674.33333333334,143851.00000000000,74910.66666666667
2025-02-12,Waßmannsdorf,229021.5000,14.86,7.038,2,7,41298.66666666666,72039.66666666667,38426.00000000000
2025-02-16,Ruhleben,240130.0000,15.13,7.214,2,7,96354.66666666667,167791.33333333334,
2025-02-16,Schönerlinde,107454.6000,12.90,6.860,2,7,88226.66666666667,142394.33333333334,
2025-02-16,Waßmannsdorf,243455.0625,15.03,7.021,2,7,43680.33333333334,61580.66666666666,
2025-02-19,Ruhleben,241240.0000,14.92,7.120,2,8,90971.00000000000,192019.66666666666,63068.66666666666
2025-02-19,Schönerlinde,92773.8000,12.20,6.900,2,8,108374.66666666667,171687.00000000000,84340.33333333333
2025-02-23,Ruhleben,242560.0000,15.89,7.289,2,8,92766.66666666667,197400.00000000000,
2025-02-23,Schönerlinde,94723.5000,13.00,6.970,2,8,76333.33333333333,193366.66666666666,
2025-02-23,Waßmannsdorf,237574.9500,15.22,7.037,2,8,35033.33333333334,66900.00000000000,
2025-02-26,Ruhleben,280160.0000,16.23,7.189,2,9,67366.66666666667,180600.00000000000,67376.00000000000
2025-02-26,Schönerlinde,102428.3000,13.90,7.370,2,9,67400.00000000000,193166.66666666666,77743.66666666667
2025-02-26,Waßmannsdorf,246777.3000,15.90,6.969,2,9,22666.66666666667,89500.00000000000,27373.00000000000
2025-03-02,Ruhleben,246780.0000,15.62,7.159,3,9,37991.00000000000,180036.66666666666,
2025-03-02,Schönerlinde,97467.6000,13.30,6.950,3,9,79289.00000000000,191775.66666666666,
2025-03-02,Waßmannsdorf,242948.0750,15.41,6.974,3,9,15174.66666666667,75650.66666666667,
2025-03-05,Ruhleben,263550.0000,15.96,7.285,3,10,39543.00000000000,109911.66666666667,29434.00000000000
2025-03-05,Schönerlinde,94838.2000,13.90,6.970,3,10,45589.00000000000,137380.66666666666,74321.33333333333
2025-03-05,Waßmannsdorf,228042.6500,15.84,7.020,3,10,12043.66666666667,81381.66666666667,18176.00000000000
2025-03-09,Ruhleben,248570.0000,16.82,7.342,3,10,21948.33333333333,93590.00000000000,
2025-03-09,Schönerlinde,96906.5000,14.60,7.020,3,10,57016.33333333334,113741.00000000000,
2025-03-09,Waßmannsdorf,239047.4250,16.54,7.070,3,10,28295.66666666667,90999.00000000000,
2025-03-12,Ruhleben,219150.0000,16.71,7.299,3,11,23529.33333333333,87717.00000000000,49677.33333333334
2025-03-12,Schönerlinde,106050.9000,14.70,7.010,3,11,27203.00000000000,108102.66666666667,40001.33333333334
2025-03-12,Waßmannsdorf,251196.0125,16.65,7.083,3,11,34621.33333333334,127053.33333333333,60720.66666666666
2025-03-16,Ruhleben,218260.0000,17.01,7.337,3,11,14658.66666666667,48286.33333333334,
2025-03-16,Schönerlinde,102020.8000,14.40,7.080,3,11,19491.33333333333,110581.33333333333,
2025-03-16,Waßmannsdorf,256038.0750,16.36,6.947,3,11,19860.00000000000,77258.33333333333,
2025-03-19,Ruhleben,226170.0000,16.75,7.312,3,12,19052.33333333333,57179.33333333334,45362.66666666666
2025-03-19,Schönerlinde,97155.9000,14.10,7.070,3,12,23900.33333333333,80742.33333333333,43392.00000000000
2025-03-19,Waßmannsdorf,248985.4500,16.33,7.012,3,12,19752.66666666667,77121.33333333333,46126.00000000000
2025-03-23,Ruhleben,233470.0000,17.45,7.416,3,12,18981.33333333333,52620.33333333334,
2025-03-23,Schönerlinde,100512.2000,14.60,7.140,3,12,28412.66666666667,83907.66666666667,
2025-03-23,Waßmannsdorf,240394.1500,16.67,7.100,3,12,30190.00000000000,52905.66666666666,
2025-03-26,Ruhleben,220150.0000,17.88,7.419,3,13,16068.40879200000,64541.27824666667,42395.50907666667
2025-03-26,Schönerlinde,96585.8000,15.40,7.120,3,13,25253.42662300000,50773.09064000000,23913.09257666667
2025-03-26,Waßmannsdorf,233586.3125,17.11,7.082,3,13,15339.22088700000,33546.02833333334,34605.86764333333
2025-03-30,Ruhleben,294300.0000,17.65,7.432,3,13,8748.81803966667,45368.07522000000,
2025-03-30,Schönerlinde,134916.0000,15.20,7.160,3,13,18158.14045666667,50738.52376666667,
2025-03-30,Waßmannsdorf,262935.0250,17.10,7.096,3,13,10536.15838266667,21185.74538333333,
2025-04-02,Ruhleben,244120.0000,18.58,7.176,4,14,13095.87356966667,21907.63113333333,24941.59183333333
2025-04-02,Schönerlinde,94018.2000,15.70,7.140,4,14,7418.45564733333,19339.62426166667,28645.16971200000
2025-04-02,Waßmannsdorf,231973.0500,16.85,7.080,4,14,4608.83324700000,34940.93962666667,24314.49532666667
2025-04-06,Ruhleben,241460.0000,19.44,7.181,4,14,8723.03464666667,17518.31651100000,
2025-04-06,Schönerlinde,100626.5000,15.60,7.200,4,14,4445.15840600000,27156.05518333333,
2025-04-06,Waßmannsdorf,232771.6375,17.18,7.141,4,14,0.00000000000,21336.53724533333,
2025-04-09,Ruhleben,224160.0000,19.06,7.121,4,15,8765.05561166667,10258.55564500000,7342.75288533333
2025-04-13,Ruhleben,216420.0000,19.43,7.195,4,15,4366.87117400000,8751.29178666667,
2025-04-13,Schönerlinde,94752.8000,16.60,7.240,4,15,0.00000000000,4498.39403566667,
2025-04-13,Waßmannsdorf,231183.1500,18.03,6.985,4,15,0.00000000000,7518.86133100000,
2025-04-14,Ruhleben,222620.0000,19.95,7.187,4,16,4349.62611266667,8692.21310466667,17480.28402333333
2025-04-14,Waßmannsdorf,229398.2625,18.30,7.340,4,16,4494.00688400000,5964.98726300000,13427.00272833333
2025-04-16,Ruhleben,215890.0000,20.48,7.167,4,16,0.00000000000,10340.42243566667,
2025-04-16,Schönerlinde,97817.0000,17.60,7.270,4,16,10465.74986766667,10456.66150866667,
2025-04-16,Waßmannsdorf,227584.2750,18.76,7.320,4,16,0.00000000000,4587.33375733333,
2025-04-21,Ruhleben,202450.0000,19.78,7.044,4,17,3514.95410900000,5287.80778100000,10573.05724466667
2025-04-21,Schönerlinde,84775.1000,17.30,7.220,4,17,3570.50128333333,11031.55887700000,10839.60369333333
2025-04-21,Waßmannsdorf,219804.7500,18.50,7.340,4,17,3618.60818333333,3618.60818333333,21721.75140333333
2025-04-27,Ruhleben,215830.0000,20.54,7.125,4,17,3516.29109100000,3535.56969333333,
2025-04-27,Schönerlinde,97313.1000,17.50,7.280,4,17,0.00000000000,0.00000000000,
2025-04-27,Waßmannsdorf,234703.0625,18.81,7.420,4,17,3702.31780133333,9233.48320566667,
2025-04-29,Ruhleben,219120.0000,21.15,7.152,4,18,5285.28254666667,0.00000000000,0.00000000000
2025-04-29,Schönerlinde,101207.0000,18.10,7.290,4,18,0.00000000000,0.00000000000,0.00000000000
2025-04-29,Waßmannsdorf,223733.1500,19.40,7.420,4,18,0.00000000000,0.00000000000,10821.75639066667
2025-05-06,Ruhleben,213880.0000,20.91,7.222,5,19,0.00000000000,3542.79400000000,0.00000000000
2025-05-06,Schönerlinde,100012.1000,18.30,7.290,5,19,0.00000000000,0.00000000000,5513.76719433333
2025-05-06,Waßmannsdorf,229906.8250,19.43,7.460,5,19,0.00000000000,0.00000000000,0.00000000000
2025-05-14,Ruhleben,223370.0000,21.10,7.172,5,20,5279.75952166667,0.00000000000,0.00000000000
2025-05-14,Schönerlinde,101050.0000,19.00,7.330,5,20,0.00000000000,0.00000000000,0.00000000000
2025-05-14,Waßmannsdorf,233529.4750,20.17,7.460,5,20,0.00000000000,0.00000000000,5450.43049433333
2025-05-21,Ruhleben,222280.0000,21.19,7.147,5,21,0.00000000000,0.00000000000,0.00000000000
2025-05-21,Schönerlinde,103192.2000,19.40,7.340,5,21,7396.92893333333,0.00000000000,0.00000000000
2025-05-21,Waßmannsdorf,233031.4875,20.14,7.460,5,21,0.00000000000,0.00000000000,7379.60816666667
2025-05-27,Ruhleben,231020.0000,20.87,7.210,5,22,3532.75454333333,0.00000000000,0.00000000000
2025-05-27,Schönerlinde,104306.8000,19.20,7.350,5,22,3634.79672766667,0.00000000000,0.00000000000
2025-05-27,Waßmannsdorf,231803.4375,20.19,7.360,5,22,0.00000000000,0.00000000000,0.00000000000
2025-06-03,Ruhleben,221210.0000,22.90,7.285,6,23,0.00000000000,0.00000000000,0.00000000000
2025-06-03,Schönerlinde,98872.3000,20.40,7.360,6,23,0.00000000000,0.00000000000,0.00000000000
2025-06-09,Ruhleben,210590.0000,21.59,7.184,6,24,5289.37275966667,0.00000000000,0.00000000000
2025-06-09,Schönerlinde,106740.7000,19.50,7.350,6,24,0.00000000000,0.00000000000,0.00000000000
2025-06-18,Ruhleben,224080.0000,24.02,7.298,6,25,0.00000000000,0.00000000000,0.00000000000
2025-06-18,Schönerlinde,107337.3000,21.60,7.460,6,25,3635.90698000000,0.00000000000,0.00000000000
2025-06-18,Waßmannsdorf,231616.4250,22.20,6.930,6,25,0.00000000000,0.00000000000,0.00000000000
2025-06-25,Ruhleben,344950.0000,23.33,7.152,6,26,0.00000000000,0.00000000000,0.00000000000
2025-06-25,Schönerlinde,147345.6000,21.30,7.490,6,26,0.00000000000,0.00000000000,0.00000000000
2025-06-25,Waßmannsdorf,300454.8250,22.12,6.900,6,26,0.00000000000,0.00000000000,0.00000000000
2025-07-02,Ruhleben,236180.0000,24.65,7.206,7,27,0.00000000000,0.00000000000,0.00000000000
2025-07-02,Schönerlinde,108231.0000,23.00,7.480,7,27,3568.67199666667,0.00000000000,0.00000000000
2025-07-09,Ruhleben,225870.0000,23.85,7.241,7,28,0.00000000000,0.00000000000,0.00000000000
2025-07-09,Schönerlinde,125129.0000,22.00,7.530,7,28,0.00000000000,0.00000000000,0.00000000000
2025-07-09,Waßmannsdorf,247006.1000,22.56,7.000,7,28,0.00000000000,0.00000000000,0.00000000000
2025-07-16,Ruhleben,281650.0000,23.06,7.072,7,29,0.00000000000,0.00000000000,0.00000000000
2025-07-16,Schönerlinde,157677.6000,21.70,7.420,7,29,0.00000000000,0.00000000000,0.00000000000
2025-07-16,Waßmannsdorf,260922.5000,22.29,6.960,7,29,0.00000000000,0.00000000000,0.00000000000
2025-07-23,Ruhleben,438710.0000,22.19,6.847,7,30,0.00000000000,0.00000000000,0.00000000000
2025-07-23,Schönerlinde,223106.2000,21.00,7.350,7,30,0.00000000000,0.00000000000,0.00000000000
2025-07-23,Waßmannsdorf,368900.7250,21.91,6.760,7,30,0.00000000000,0.00000000000,0.00000000000
2025-07-30,Ruhleben,212150.0000,23.70,7.289,7,31,0.00000000000,0.00000000000,0.00000000000
2025-07-30,Schönerlinde,111944.5000,21.90,7.640,7,31,0.00000000000,0.00000000000,0.00000000000
2025-07-30,Waßmannsdorf,222456.1375,22.71,7.010,7,31,0.00000000000,0.00000000000,0.00000000000
2025-08-06,Ruhleben,196200.0000,23.24,7.340,8,32,0.00000000000,0.00000000000,0.00000000000
2025-08-06,Schönerlinde,110279.2000,21.40,7.640,8,32,0.00000000000,0.00000000000,0.00000000000
2025-08-06,Waßmannsdorf,233116.3250,22.18,7.000,8,32,0.00000000000,0.00000000000,0.00000000000
2025-08-13,Ruhleben,188980.0000,24.44,7.393,8,33,0.00000000000,0.00000000000,0.00000000000
2025-08-13,Schönerlinde,103844.3000,22.70,7.730,8,33,0.00000000000,0.00000000000,0.00000000000
2025-08-13,Waßmannsdorf,212445.2000,23.23,7.000,8,33,0.00000000000,0.00000000000,0.00000000000
