Datum,Stunde,Zaehlstelle,Anzahl,Wochentag,Monat,Ist_Wochenende
2024-01-01,0,Jannowitzbruecke_Nord,8,Montag,1,Nein
2024-01-01,1,Jannowitzbruecke_Nord,18,Montag,1,Nein
2024-01-01,2,Jannowitzbruecke_Nord,28,Montag,1,Nein
2024-01-01,3,Jannowitzbruecke_Nord,21,Montag,1,Nein
2024-01-01,4,Jannowitzbruecke_Nord,18,Montag,1,Nein
2024-01-01,5,Jannowitzbruecke_Nord,14,Montag,1,Nein
2024-01-01,6,Jannowitzbruecke_Nord,12,Montag,1,Nein
2024-01-01,7,Jannowitzbruecke_Nord,8,Montag,1,Nein
2024-01-01,8,Jannowitzbruecke_Nord,7,Montag,1,Nein
2024-01-01,9,Jannowitzbruecke_Nord,11,Montag,1,Nein
2024-01-01,10,Jannowitzbruecke_Nord,15,Montag,1,Nein
2024-01-01,11,Jannowitzbruecke_Nord,23,Montag,1,Nein
2024-01-01,12,Jannowitzbruecke_Nord,29,Montag,1,Nein
2024-01-01,13,Jannowitzbruecke_Nord,47,Montag,1,Nein
2024-01-01,14,Jannowitzbruecke_Nord,56,Montag,1,Nein
2024-01-01,15,Jannowitzbruecke_Nord,49,Montag,1,Nein
2024-01-01,16,Jannowitzbruecke_Nord,44,Montag,1,Nein
2024-01-01,17,Jannowitzbruecke_Nord,36,Montag,1,Nein
2024-01-01,18,Jannowitzbruecke_Nord,46,Montag,1,Nein
2024-01-01,19,Jannowitzbruecke_Nord,37,Montag,1,Nein
2024-01-01,20,Jannowitzbruecke_Nord,21,Montag,1,Nein
2024-01-01,21,Jannowitzbruecke_Nord,26,Montag,1,Nein
2024-01-01,22,Jannowitzbruecke_Nord,16,Montag,1,Nein
2024-01-01,23,Jannowitzbruecke_Nord,18,Montag,1,Nein
2024-01-02,0,Jannowitzbruecke_Nord,10,Dienstag,1,Nein
2024-01-02,1,Jannowitzbruecke_Nord,5,Dienstag,1,Nein
2024-01-02,2,Jannowitzbruecke_Nord,2,Dienstag,1,Nein
2024-01-02,3,Jannowitzbruecke_Nord,3,Dienstag,1,Nein
2024-01-02,4,Jannowitzbruecke_Nord,4,Dienstag,1,Nein
2024-01-02,5,Jannowitzbruecke_Nord,11,Dienstag,1,Nein
2024-01-02,6,Jannowitzbruecke_Nord,15,Dienstag,1,Nein
2024-01-02,7,Jannowitzbruecke_Nord,44,Dienstag,1,Nein
2024-01-02,8,Jannowitzbruecke_Nord,90,Dienstag,1,Nein
2024-01-02,9,Jannowitzbruecke_Nord,90,Dienstag,1,Nein
2024-01-02,10,Jannowitzbruecke_Nord,47,Dienstag,1,Nein
2024-01-02,11,Jannowitzbruecke_Nord,46,Dienstag,1,Nein
2024-01-02,12,Jannowitzbruecke_Nord,58,Dienstag,1,Nein
2024-01-02,13,Jannowitzbruecke_Nord,79,Dienstag,1,Nein
2024-01-02,14,Jannowitzbruecke_Nord,92,Dienstag,1,Nein
2024-01-02,15,Jannowitzbruecke_Nord,102,Dienstag,1,Nein
2024-01-02,16,Jannowitzbruecke_Nord,155,Dienstag,1,Nein
2024-01-02,17,Jannowitzbruecke_Nord,162,Dienstag,1,Nein
2024-01-02,18,Jannowitzbruecke_Nord,164,Dienstag,1,Nein
2024-01-02,19,Jannowitzbruecke_Nord,67,Dienstag,1,Nein
2024-01-02,20,Jannowitzbruecke_Nord,50,Dienstag,1,Nein
2024-01-02,21,Jannowitzbruecke_Nord,27,Dienstag,1,Nein
2024-01-02,22,Jannowitzbruecke_Nord,21,Dienstag,1,Nein
2024-01-02,23,Jannowitzbruecke_Nord,16,Dienstag,1,Nein
2024-01-03,0,Jannowitzbruecke_Nord,12,Mittwoch,1,Nein
2024-01-03,1,Jannowitzbruecke_Nord,3,Mittwoch,1,Nein
2024-01-03,2,Jannowitzbruecke_Nord,2,Mittwoch,1,Nein
2024-01-03,3,Jannowitzbruecke_Nord,4,Mittwoch,1,Nein
2024-01-03,4,Jannowitzbruecke_Nord,9,Mittwoch,1,Nein
2024-01-03,5,Jannowitzbruecke_Nord,12,Mittwoch,1,Nein
2024-01-03,6,Jannowitzbruecke_Nord,20,Mittwoch,1,Nein
2024-01-03,7,Jannowitzbruecke_Nord,52,Mittwoch,1,Nein
2024-01-03,8,Jannowitzbruecke_Nord,129,Mittwoch,1,Nein
2024-01-03,9,Jannowitzbruecke_Nord,131,Mittwoch,1,Nein
2024-01-03,10,Jannowitzbruecke_Nord,73,Mittwoch,1,Nein
2024-01-03,11,Jannowitzbruecke_Nord,99,Mittwoch,1,Nein
2024-01-03,12,Jannowitzbruecke_Nord,116,Mittwoch,1,Nein
2024-01-03,13,Jannowitzbruecke_Nord,114,Mittwoch,1,Nein
2024-01-03,14,Jannowitzbruecke_Nord,141,Mittwoch,1,Nein
2024-01-03,15,Jannowitzbruecke_Nord,146,Mittwoch,1,Nein
2024-01-03,16,Jannowitzbruecke_Nord,198,Mittwoch,1,Nein
2024-01-03,17,Jannowitzbruecke_Nord,215,Mittwoch,1,Nein
2024-01-03,18,Jannowitzbruecke_Nord,235,Mittwoch,1,Nein
2024-01-03,19,Jannowitzbruecke_Nord,142,Mittwoch,1,Nein
2024-01-03,20,Jannowitzbruecke_Nord,94,Mittwoch,1,Nein
2024-01-03,21,Jannowitzbruecke_Nord,63,Mittwoch,1,Nein
2024-01-03,22,Jannowitzbruecke_Nord,51,Mittwoch,1,Nein
2024-01-03,23,Jannowitzbruecke_Nord,37,Mittwoch,1,Nein
2024-01-04,0,Jannowitzbruecke_Nord,14,Donnerstag,1,Nein
2024-01-04,1,Jannowitzbruecke_Nord,8,Donnerstag,1,Nein
2024-01-04,2,Jannowitzbruecke_Nord,6,Donnerstag,1,Nein
2024-01-04,3,Jannowitzbruecke_Nord,3,Donnerstag,1,Nein
2024-01-04,4,Jannowitzbruecke_Nord,9,Donnerstag,1,Nein
2024-01-04,5,Jannowitzbruecke_Nord,13,Donnerstag,1,Nein
2024-01-04,6,Jannowitzbruecke_Nord,25,Donnerstag,1,Nein
2024-01-04,7,Jannowitzbruecke_Nord,66,Donnerstag,1,Nein
2024-01-04,8,Jannowitzbruecke_Nord,127,Donnerstag,1,Nein
2024-01-04,9,Jannowitzbruecke_Nord,103,Donnerstag,1,Nein
2024-01-04,10,Jannowitzbruecke_Nord,73,Donnerstag,1,Nein
2024-01-04,11,Jannowitzbruecke_Nord,77,Donnerstag,1,Nein
2024-01-04,12,Jannowitzbruecke_Nord,95,Donnerstag,1,Nein
2024-01-04,13,Jannowitzbruecke_Nord,79,Donnerstag,1,Nein
2024-01-04,14,Jannowitzbruecke_Nord,108,Donnerstag,1,Nein
2024-01-04,15,Jannowitzbruecke_Nord,153,Donnerstag,1,Nein
2024-01-04,16,Jannowitzbruecke_Nord,178,Donnerstag,1,Nein
2024-01-04,17,Jannowitzbruecke_Nord,185,Donnerstag,1,Nein
2024-01-04,18,Jannowitzbruecke_Nord,228,Donnerstag,1,Nein
2024-01-04,19,Jannowitzbruecke_Nord,142,Donnerstag,1,Nein
2024-01-04,20,Jannowitzbruecke_Nord,84,Donnerstag,1,Nein
2024-01-04,21,Jannowitzbruecke_Nord,75,Donnerstag,1,Nein
2024-01-04,22,Jannowitzbruecke_Nord,59,Donnerstag,1,Nein
2024-01-04,23,Jannowitzbruecke_Nord,19,Donnerstag,1,Nein
2024-01-05,0,Jannowitzbruecke_Nord,25,Freitag,1,Nein
2024-01-05,1,Jannowitzbruecke_Nord,9,Freitag,1,Nein
2024-01-05,2,Jannowitzbruecke_Nord,7,Freitag,1,Nein
2024-01-05,3,Jannowitzbruecke_Nord,8,Freitag,1,Nein
2024-01-05,4,Jannowitzbruecke_Nord,4,Freitag,1,Nein
2024-01-05,5,Jannowitzbruecke_Nord,7,Freitag,1,Nein
2024-01-05,6,Jannowitzbruecke_Nord,21,Freitag,1,Nein
2024-01-05,7,Jannowitzbruecke_Nord,45,Freitag,1,Nein
2024-01-05,8,Jannowitzbruecke_Nord,62,Freitag,1,Nein
2024-01-05,9,Jannowitzbruecke_Nord,70,Freitag,1,Nein
2024-01-05,10,Jannowitzbruecke_Nord,70,Freitag,1,Nein
2024-01-05,11,Jannowitzbruecke_Nord,49,Freitag,1,Nein
2024-01-05,12,Jannowitzbruecke_Nord,57,Freitag,1,Nein
2024-01-05,13,Jannowitzbruecke_Nord,82,Freitag,1,Nein
2024-01-05,14,Jannowitzbruecke_Nord,87,Freitag,1,Nein
2024-01-05,15,Jannowitzbruecke_Nord,106,Freitag,1,Nein
2024-01-05,16,Jannowitzbruecke_Nord,108,Freitag,1,Nein
2024-01-05,17,Jannowitzbruecke_Nord,131,Freitag,1,Nein
2024-01-05,18,Jannowitzbruecke_Nord,110,Freitag,1,Nein
2024-01-05,19,Jannowitzbruecke_Nord,97,Freitag,1,Nein
2024-01-05,20,Jannowitzbruecke_Nord,72,Freitag,1,Nein
2024-01-05,21,Jannowitzbruecke_Nord,43,Freitag,1,Nein
2024-01-05,22,Jannowitzbruecke_Nord,38,Freitag,1,Nein
2024-01-05,23,Jannowitzbruecke_Nord,32,Freitag,1,Nein
2024-01-06,0,Jannowitzbruecke_Nord,31,Samstag,1,Ja
2024-01-06,1,Jannowitzbruecke_Nord,10,Samstag,1,Ja
2024-01-06,2,Jannowitzbruecke_Nord,7,Samstag,1,Ja
2024-01-06,3,Jannowitzbruecke_Nord,9,Samstag,1,Ja
2024-01-06,4,Jannowitzbruecke_Nord,2,Samstag,1,Ja
2024-01-06,5,Jannowitzbruecke_Nord,7,Samstag,1,Ja
2024-01-06,6,Jannowitzbruecke_Nord,4,Samstag,1,Ja
2024-01-06,7,Jannowitzbruecke_Nord,14,Samstag,1,Ja
2024-01-06,8,Jannowitzbruecke_Nord,16,Samstag,1,Ja
2024-01-06,9,Jannowitzbruecke_Nord,30,Samstag,1,Ja
2024-01-06,10,Jannowitzbruecke_Nord,51,Samstag,1,Ja
2024-01-06,11,Jannowitzbruecke_Nord,59,Samstag,1,Ja
2024-01-06,12,Jannowitzbruecke_Nord,69,Samstag,1,Ja
2024-01-06,13,Jannowitzbruecke_Nord,93,Samstag,1,Ja
2024-01-06,14,Jannowitzbruecke_Nord,96,Samstag,1,Ja
2024-01-06,15,Jannowitzbruecke_Nord,103,Samstag,1,Ja
2024-01-06,16,Jannowitzbruecke_Nord,71,Samstag,1,Ja
2024-01-06,17,Jannowitzbruecke_Nord,71,Samstag,1,Ja
2024-01-06,18,Jannowitzbruecke_Nord,111,Samstag,1,Ja
2024-01-06,19,Jannowitzbruecke_Nord,79,Samstag,1,Ja
2024-01-06,20,Jannowitzbruecke_Nord,57,Samstag,1,Ja
2024-01-06,21,Jannowitzbruecke_Nord,29,Samstag,1,Ja
2024-01-06,22,Jannowitzbruecke_Nord,34,Samstag,1,Ja
2024-01-06,23,Jannowitzbruecke_Nord,42,Samstag,1,Ja
2024-01-07,0,Jannowitzbruecke_Nord,31,Sonntag,1,Ja
2024-01-07,1,Jannowitzbruecke_Nord,16,Sonntag,1,Ja
2024-01-07,2,Jannowitzbruecke_Nord,17,Sonntag,1,Ja
2024-01-07,3,Jannowitzbruecke_Nord,5,Sonntag,1,Ja
2024-01-07,4,Jannowitzbruecke_Nord,5,Sonntag,1,Ja
2024-01-07,5,Jannowitzbruecke_Nord,2,Sonntag,1,Ja
2024-01-07,6,Jannowitzbruecke_Nord,9,Sonntag,1,Ja
2024-01-07,7,Jannowitzbruecke_Nord,3,Sonntag,1,Ja
2024-01-07,8,Jannowitzbruecke_Nord,11,Sonntag,1,Ja
